Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,106.870003,108.25,106.25,108.129997,82.874603,223591600
2010-02-12,106.989998,108.099998,106.510002,108.040001,82.805649,304622100
2010-02-16,108.860001,109.849998,107.82,109.739998,84.108551,159317500
2010-02-17,110.269997,110.410004,109.739998,110.260002,84.507095,168845100
2010-02-18,110.080002,111.139999,110.040001,110.910004,85.00528,193708600
2010-02-19,110.620003,111.57,110.360001,111.139999,85.18158,222684900
2010-02-22,111.550003,111.580002,110.830002,111.160004,85.196892,132346900
2010-02-23,110.860001,111.199997,109.519997,109.809998,84.162216,207497000
2010-02-24,110.139999,111.0,109.860001,110.82,84.936325,176350700
2010-02-25,109.239998,110.75,108.940002,110.669998,84.821342,259634700
2010-02-26,110.769997,111.120003,110.110001,110.739998,84.874985,173589300
2010-03-01,111.199997,112.0,111.169998,111.889999,85.756401,147709700
2010-03-02,112.370003,112.739998,112.0,112.199997,85.993988,160992400
2010-03-03,112.489998,112.970001,112.019997,112.300003,86.070595,150785000
2010-03-04,112.449997,112.800003,112.029999,112.639999,86.331223,135770400
2010-03-05,113.370003,114.339996,113.099998,114.25,87.56517,176118800
2010-03-08,114.260002,114.519997,114.07,114.269997,87.580513,114631200
2010-03-09,113.93,114.989998,113.870003,114.459999,87.726143,154556700
2010-03-10,114.510002,115.279999,114.410004,114.970001,88.11702,186088800
2010-03-11,114.699997,115.480003,114.349998,115.449997,88.484901,160791100
2010-03-12,115.949997,115.970001,115.139999,115.459999,88.492561,162074800
2010-03-15,115.260002,115.57,114.599998,115.489998,88.515579,146816800
2010-03-16,115.809998,116.519997,115.489998,116.410004,89.220673,168673000
2010-03-17,116.760002,117.480003,116.419998,117.099998,89.749519,177468100
2010-03-18,117.110001,117.269997,116.57,117.040001,89.703545,196509100
2010-03-19,115.970001,117.290001,115.519997,115.970001,89.249458,226641100
2010-03-22,115.309998,116.800003,115.239998,116.589996,89.726646,184477800
2010-03-23,116.760002,117.510002,116.379997,117.410004,90.357719,182941600
2010-03-24,116.970001,117.43,115.580002,116.839996,89.919022,196072600
2010-03-25,117.629997,118.169998,116.510002,116.650002,89.772789,223396300
2010-03-26,116.870003,117.419998,116.120003,116.580002,89.718941,205808500
2010-03-29,117.169998,117.529999,116.690002,117.32,90.288422,134513500
2010-03-30,117.459999,117.830002,116.910004,117.400002,90.349983,145772500
